姓名,次數
李淑玲,55
陳玲玲,55
林志遠,55
王美華,55
吳麗卿,55
陳秀華,55
陳正義,55
從缺,55
林宜靜,55
陳政雄,55
林惠珠,55
林玉梅,55
李秀英,55
張世昌,55
陳威宇,54
蔡淑美,54
林秀芬,54
楊美玲,54
林麗珍,54
楊雅婷,54
陳信志,54
陳麗惠,54
李麗珠,54
黃淑敏,54
陳中和,54
林怡伶,54
李正義,54
林寶珠,54
林月英,54
陳智亮,54
李素貞,54
張美珠,54
陳淑英,54
林芳如,53
李麗娟,53
陳俊仁,53
林富美,53
陳世雄,53
林美慧,53
林俊龍,53
陳彥宏,53
陳明賢,53
謝明宏,53
王麗珠,53
陳秀珠,53
吳文雄,53
陳文祥,53
林美麗,53
陳玉鳳,53
黃麗珠,52
陳俊廷,52
黃文彬,52
陳美智,52
黃茂雄,52
黃國書,52
王美雲,52
黃淑卿,52
王志成,52
林秀華,52
張淑慧,52
李明宗,52
李建德,52
王正雄,52
吳麗珠,52
楊雅雯,52
林素珠,52
林碧霞,52
林美伶,52
許瓊文,52
李文彬,52
林志雄,52
陳國平,52
王振宇,51
吳美華,51
黃麗美,51
林榮華,51
黃建銘,51
許國興,51
陳志偉,51
吳明哲,51
陳素琴,51
陳怡安,51
陳國明,51
張素真,51
張麗珠,51
林美珍,51
陳碧珠,51
吳淑玲,51
李建宏,51
蔡明達,51
許麗珠,51
李美玉,50
陳清泉,50
張惠美,50
李秀蘭,50
李淑美,50
陳麗鳳,50
林淑媛,50
